"Latest: Time (s)","Latest: Temperature (°C)"
0,21.1445330757
0.5,21.1723453784
1,21.2074719015
1.5,21.2411298216
2,21.2703936321
2.5,21.2923390968
3,21.3172081582
3.5,21.3537755801
4,21.3757133498
4.5,21.3917997758
5,21.422507254
5.5,21.441514701
6,21.453210856
6.5,21.475139643
7,21.4912195119
7.5,21.5160681625
8,21.5379913799
8.5,21.5452986912
9,21.5642967036
9.5,21.5847544971
10,21.6008273157
10.5,21.6125159987
11,21.6300480171
11.5,21.6344308335
12,21.6461179772
12.5,21.6607261584
13,21.6724121065
13.5,21.6826368772
14,21.694321835
14.5,21.7074667839
15,21.7206110696
15.5,21.7293735592
16,21.7395960934
16.5,21.7468976597
17,21.7527387669
17.5,21.7571195122
18,21.7658807847
18.5,21.7790221491
19,21.7877826967
19.5,21.7965429556
20,21.7980029707
20.5,21.8082228528
21,21.8155225291
21.5,21.8184423438
22,21.8199022393
22.5,21.8213621267
23,21.828661445
23.5,21.8330409406
24,21.8417997181
24.5,21.846179
25,21.8490984817
25.5,21.8563970481
26,21.8622357593
26.5,21.8666147102
27,21.8680743447
27.5,21.8739128045
28,21.8739128045
28.5,21.8812107027
29,21.8841298072
29.5,21.8899679224
30,21.8958059126
30.5,21.9045626642
31,21.9060220956
31.5,21.9074815191
32,21.9118597433
32.5,21.910400343
33,21.9118597433
33.5,21.910400343
34,21.9118597433
34.5,21.9133191358
35,21.9133191358
35.5,21.9133191358
36,21.9191566283
36.5,21.9191566283
37,21.920615982
37.5,21.920615982
38,21.922075328
38.5,21.9235346663
39,21.922075328
39.5,21.9235346663
40,21.9279126346
40.5,21.9279126346
41,21.9279126346
41.5,21.9322905335
42,21.9322905335
42.5,21.9337498176
43,21.9322905335
43.5,21.9337498176
44,21.9322905335
44.5,21.9322905335
45,21.9337498176
45.5,21.9337498176
46,21.9352090941
46.5,21.9337498176
47,21.9322905335
47.5,21.9337498176
48,21.9352090941
48.5,21.9352090941
49,21.9352090941
49.5,21.9352090941
50,21.9352090941
50.5,21.9352090941
51,21.9352090941
51.5,21.9352090941
52,21.9337498176
52.5,21.9308312416
53,21.9352090941
53.5,21.9337498176
54,21.9352090941
54.5,21.9352090941
55,21.9337498176
55.5,21.9322905335
56,21.9308312416
56.5,21.9322905335
57,21.9308312416
57.5,21.9352090941
58,21.9308312416
58.5,21.9279126346
59,21.9308312416
59.5,21.9279126346
60,21.9308312416
60.5,21.9279126346
61,21.9264533196
61.5,21.929371942
62,21.9249939968
62.5,21.9235346663
63,21.9264533196
63.5,21.9249939968
64,21.920615982
64.5,21.922075328
65,21.920615982
65.5,21.922075328
66,21.9191566283
66.5,21.9191566283
67,21.920615982
67.5,21.922075328
68,21.920615982
68.5,21.920615982
69,21.9191566283
69.5,21.9176972668
70,21.9176972668
70.5,21.9162378975
71,21.9176972668
71.5,21.9162378975
72,21.9133191358
72.5,21.9118597433
73,21.8680743447
73.5,21.8199022393
74,21.7498182295
74.5,21.7001641165
75,21.6446571134
75.5,21.5979050609
76,21.5394528592
76.5,21.4795251658
77,21.4298179859
77.5,21.3771757965
78,21.3303730764
78.5,21.2835611562
79,21.2469828765
79.5,21.2103988708
80,21.1708816571
80.5,21.150388578
81,21.1196455143
81.5,21.0947552268
82,21.0727909323
82.5,21.0508244928
83,21.0229972406
83.5,21.0054203423
84,20.9863771298
84.5,20.9731924057
85,20.943890189
85.5,20.9321682051
86,20.9131186382
86.5,20.904325968
87,20.8896707257
87.5,20.8867395582
88,20.8750144908
88.5,20.8618230282
89,20.8530282707
89.5,20.8369036125
90,20.823709807
90.5,20.8149134838
91,20.8002521379
91.5,20.7943873164
92,20.7929210857
92.5,20.7841234886
93,20.7709264075
93.5,20.7635943395
94,20.753329016
94.5,20.7474628921
95,20.7401300069
95.5,20.7357301529
96,20.7269301678
96.5,20.7239967573
97,20.7151962788
97.5,20.7078622634
98,20.7019948654
98.5,20.7005279901
99,20.7005279901
99.5,20.6946603855
100,20.6858586681
100.5,20.6785236186
101,20.6770565775
101.5,20.6741224643
102,20.6638527406
102.5,20.657984098
103,20.6521152886
103.5,20.6403771685
104,20.6301057642
104.5,20.6286383788
105,20.6271709829
105.5,20.6183663871
106,20.6095614129
106.5,20.6066263373
107,20.6036912196
107.5,20.5934179751
108,20.5904826674
108.5,20.5816764903
109,20.572869932
109.5,20.5640629917
110,20.5611272599
110.5,20.5596593781
111,20.5581914856
111.5,20.5479159401
112,20.5405759448
112.5,20.5361718195
113,20.5361718195
113.5,20.5361718195
114,20.5332356826
114.5,20.5302995028
115,20.5258951529
115.5,20.5200225364
116,20.5170861637
116.5,20.5156179613
117,20.5156179613
117.5,20.5141497482
118,20.5126815243
118.5,20.5112132897
119,20.5112132897
119.5,20.544979974
120,20.6418444701
120.5,20.7562620166
121,20.8882051469
121.5,21.011279463
122,21.1255016558
122.5,21.2425930991
123,21.3479251692
123.5,21.4385905748
124,21.5189913696
124.5,21.6008273157
125,21.665108451
125.5,21.7322943239
126,21.7980029707
126.5,21.8388801573
127,21.8899679224
127.5,21.9322905335
128,21.9804428528
128.5,22.0125397825
129,22.0446330565
129.5,22.0825568025
130,22.1088087669
130.5,22.1306835833
131,22.1554730548
131.5,22.178802406
132,22.1962982078
132.5,22.2152508278
133,22.2298289456
133.5,22.2429486443
134,22.2618983089
134.5,22.2779317115
135,22.2852193413
135.5,22.2881343443
136,22.2983366351
136.5,22.3070811841
137,22.3099959783
137.5,22.3187401942
138,22.3231122087
138.5,22.3333133343
139,22.3347706103
139.5,22.3376851418
140,22.3405996457
140.5,22.3391423972
141,22.3464285712
141.5,22.3420568874
142,22.3391423972
142.5,22.3391423972
143,22.3347706103
143.5,22.3333133343
144,22.3245695331
144.5,22.3187401942
145,22.3129107446
145.5,22.3085385847
146,22.3041663623
146.5,22.2954217297
147,22.2881343443
147.5,22.2866768463
148,22.2837618293
148.5,22.2750166105
149,22.2633559261
149.5,22.2546101175
150,22.2429486443
150.5,22.2342022423
151,22.2239977839
151.5,22.2152508278
152,22.2094193811
152.5,22.2006719967
153,22.1904663889
153.5,22.178802406
154,22.1685960426
154.5,22.1569311935
155,22.1379748229
155.5,22.1277670364
156,22.1175588915
156.5,22.1029752036
157,22.092766184
157.5,22.0840153077
158,22.0606783328
158.5,22.0475504468
159,22.0344219548
159.5,22.0271280856
160,22.0125397825
160.5,22.0008685963
161,21.9877379322
161.5,21.9760657138
162,21.9527198106
162.5,21.9366683628
163,21.9235346663
163.5,21.9118597433
164,21.8972653907
164.5,21.8724532013
165,21.8607760933
165.5,21.8417997181
166,21.8257417415
166.5,21.8169824404
167,21.8053029264
167.5,21.7877826967
168,21.7673409685
168.5,21.7483579486
169,21.7410564229
169.5,21.7249923511
170,21.7074667839
170.5,21.6840975257
171,21.668029938
171.5,21.6519613493
172,21.6358917557
172.5,21.6242041449
173,21.6125159987
173.5,21.5891380943
174,21.5657580296
174.5,21.5511443867
175,21.5379913799
175.5,21.5204529603
176,21.5014516109
176.5,21.4839106105
177,21.4663683631
177.5,21.4488248634
178,21.4400526422
178.5,21.422507254
179,21.4034983216
179.5,21.3830254947
180,21.3713259562
186,21.1386774234
186.5,21.1196455143
187,21.1035403464
187.5,21.090362539
188,21.0742552852
188.5,21.0610757655
189,21.0391081778
189.5,21.0200678541
190,21.003955538
190.5,20.9863771298
191,20.9717273877
191.5,20.948285771
192,20.9321682051
192.5,20.9145840487
193,20.89846399
193.5,20.8852739596
194,20.8720831245
194.5,20.8515624427
195,20.8310397995
195.5,20.8134473947
196,20.7973197474
196.5,20.7870560616
197,20.7679936108
197.5,20.7474628921
198,20.7283968577
198.5,20.7122627036
199,20.7005279901
199.5,20.6917265211
200,20.6711883095
200.5,20.6535825066
201,20.6315731391
201.5,20.6242361596
202,20.6080938804
202.5,20.5890149977
203,20.5655308416
203.5,20.5508518635
204,20.5361718195
204.5,20.5229588661
205,20.5112132897
205.5,20.4921252608
206,20.4759724281
206.5,20.4539437272
207,20.4377877928
207.5,20.4216305389
208,20.4157548459
208.5,20.3893120557
209,20.3760893239
209.5,20.3569882432
210,20.3393548144
210.5,20.3275983059
211,20.3187804565
211.5,20.3040831473
212,20.2849749708
212.5,20.2643948101
213,20.2555740647
213.5,20.2379313523
214,20.2276390162
214.5,20.2070526721
215,20.1864640915
215.5,20.1732273903
216,20.1570479362
216.5,20.1393960328
217,20.1335116953
217.5,20.1173288119
218,20.0996731551
218.5,20.0805443007
219,20.0658284533
219.5,20.0466960988
220,20.0393369718
220.5,20.0128416733
221,19.9613120386
221.5,19.9436413713
222,19.9274417425
222.5,19.9112406582
223,19.8935650829
223.5,19.8788341054
224,19.8655751881
224.5,19.8523152852
225,19.8331603473
225.5,19.8110559252
226,19.7977919454
226.5,19.787474827
227,19.77126099
227.5,19.7609423143
228,19.7462002945
228.5,19.7285082293
229,19.7093397981
229.5,19.6931187044
230,19.6768960918
230.5,19.6695216737
231,19.6532968439
231.5,19.6311696099
232,19.6149411573
232.5,19.6031376791
233,19.5898577904
233.5,19.576576866
234,19.5647707286
234.5,19.5514878415
235,19.5308234994
235.5,19.5131091913
236,19.5027749835
236.5,19.4909636814
237,19.4776749712
237.5,19.4584783026
238,19.4407563386
238.5,19.4274636259
239,19.4112155301
239.5,19.3934885144
240,19.3875790861
240.5,19.3757595937
241,19.3609840337
241.5,19.3417738163
242,19.3210833672
242.5,19.3077809785
243,19.2944775025
243.5,19.2856079131
244,19.2634318159
244.5,19.2486460611
245,19.2353377226
245.5,19.2220282834
246,19.2101967446
246.5,19.1968852195
247,19.1865310452
247.5,19.1687794696
248,19.1510259152
248.5,19.1347500803
249,19.127351421
249.5,19.1110731524
250,19.0992333574
250.5,19.0814719962
251,19.0607478702
251.5,19.0533457326
252,19.0370597968
252.5,19.028175843
253,19.013368128
253.5,18.998559003
254,18.982267333
254.5,18.9674552362
255,18.9496788447
255.5,18.9378267776
256,18.9200469638
256.5,18.9126381
257,18.9022650887
257.5,18.8815169546
258,18.8666951309
258.5,18.8533542552
259,18.8385296854
259.5,18.8251863326
260,18.8222209833
260.5,18.804427665
261,18.7925642866
261.5,18.7732843017
262,18.7569685341
262.5,18.7495516886
263,18.7391674871
263.5,18.727298944
264,18.7094943574
264.5,18.6872356256
265,18.6768470743
265.5,18.6634892939
266,18.6516146975
266.5,18.6382546335
267,18.630831852
267.5,18.6159851644
268,18.6041067328
268.5,18.5862872789
269,18.5654951689
269.5,18.5580686966
270,18.5432146146
270.5,18.5372725567
271,18.5224163467
271.5,18.5045868824
272,18.4912133402
272.5,18.4793247058
273,18.4689213451
273.5,18.455544489
274,18.4466258921
274.5,18.4332469557
275,18.4198667675
275.5,18.4109459455
276,18.3886414466
276.5,18.3782314832
277,18.3693080498
277.5,18.3529469624
278,18.345509479
278.5,18.326170189
279,18.3098041015
279.5,18.297900296
280,18.2845073081
280.5,18.2755779385
281,18.2696247089
281.5,18.2547405257
282,18.2413434034
282.5,18.2309225288
283,18.2175231141
283.5,18.1996552158
284,18.1862527798
284.5,18.1698702601
285,18.1624230174
285.5,18.1564649336
286,18.1400788731
286.5,18.1236908586
287,18.1117710725
287.5,18.0968698802
288,18.0894186747
288.5,18.0774958998
289,18.067062616
289.5,18.0596097808
290,18.0432121046
290.5,18.0312852771
291,18.0163752657
291.5,18.0014636096
292,17.9925158251
292.5,17.9835674464
293,17.9701437626
293.5,17.9611938952
294,17.9447842542
294.5,17.9268805342
295,17.9164355898
295.5,17.9044975093
296,17.8940508112
296.5,17.8791255336
297,17.873154953
297.5,17.8641985782
298,17.8522558035
298.5,17.8403119509
299,17.8223941467
299.5,17.8074607829
300,17.7984999512
300.5,17.7865512249
301,17.7790827186
301.5,17.7716137867
302,17.7551806366
302.5,17.7372512067
303,17.7282855676
303.5,17.7178248751
304,17.6969009651
304.5,17.6879325425
305,17.6834480985
305.5,17.6744787444
306,17.6670038077
306.5,17.6535478318
307,17.6370997328
307.5,17.6206495325
308,17.6146671195
308.5,17.6056929773
309,17.5937264774
309.5,17.5832548728
310,17.5697901209
310.5,17.5563239491
311,17.5398633622
311.5,17.5323805733
312,17.5219039286
312.5,17.5129232591
313,17.5024450073
313.5,17.4934629584
314,17.4844802716
314.5,17.4725023623
315,17.463518184
315.5,17.4470455262
316,17.4320685103
316.5,17.4200856111
317,17.40660348
317.5,17.3976145857
318,17.394618144
318.5,17.3826316583
319,17.3691454853
319.5,17.3541591361
320,17.343667617
320.5,17.3301772184
321,17.3196836714
321.5,17.3076899572
322,17.3031920145
322.5,17.2956950795
323,17.2866981566
323.5,17.2732015413
324,17.261203308
324.5,17.2447038249
325,17.2342029991
325.5,17.2267018584
326,17.2161994893
326.5,17.2071967408
327,17.1981933288
327.5,17.1831861657
328,17.171179104
328.5,17.1591708572
329,17.1486626673
329.5,17.1381535673
330,17.1276435557
330.5,17.1171326313
331,17.1111259785
331.5,17.1036172423
332,17.0931042266
332.5,17.0810882286
333,17.0750797798
333.5,17.0585549971
334,17.0420279393
334.5,17.0345148868
335,17.0209902037
335.5,17.0149787423
336,17.0089669783
336.5,16.9969425415
337,16.9834135998
337.5,16.9728900261
338,16.9668761371
338.5,16.948832642
339,16.9247703737
339.5,16.9007032055
340,16.8931812081
340.5,16.8811450126
341,16.8721170576
341.5,16.8570689236
342,16.8495441327
342.5,16.8420188585
343,16.8299774133
343.5,16.8224508803
344,16.8134184005
344.5,16.8013740063
345,16.7833050799
345.5,16.7757755322
346,16.7667394309
346.5,16.757702626
347,16.7516776982
347.5,16.7426397189
348,16.730587982
348.5,16.7245616425
349,16.7170282759
349.5,16.7034669766
350,16.6959322319
350.5,16.6793540575
351,16.6657883179
351.5,16.6537285364
352,16.6446828675
352.5,16.6341286836
353,16.6311130237
353.5,16.625081465
354,16.6115092933
354.5,16.5964272081
355,16.5873769982
355.5,16.5768175099
356,16.5677657389
356.5,16.558713246
357,16.5541867286
357.5,16.5451331513
358,16.5375879505
358.5,16.5270238239
359,16.5164587095
359.5,16.5074021101
360,16.4953255124
360.5,16.4862672141
361,16.4726783988
361.5,16.4651283467
362,16.4590879393
362.5,16.4500267182
363,16.4409647642
363.5,16.4303915573
364,16.4258598768
364.5,16.409242142
365,16.3971549619
365.5,16.3880887162
366,16.3775104959
381,16.1248428257
381.5,16.112724288
382,16.100604391
382.5,16.0899983645
383,16.0824219924
383.5,16.0778759133
384,16.0748450873
384.5,16.0596896762
385,16.0551426362
385.5,16.0445321272
386,16.0369525498
386.5,16.0248241108
387,16.0142105996
387.5,16.0081452631
388,15.9975300957
388.5,15.991463812
389,15.9838804721
389.5,15.9793302093
390,15.971746006
390.5,15.9656782543
391,15.9596101567
391.5,15.9505073607
392,15.9429211016
392.5,15.9353343002
393,15.9262294222
393.5,15.9186414261
394,15.908017318
394.5,15.8943561818
395,15.8882839986
395.5,15.883729632
396,15.870065352
396.5,15.8639917699
397,15.8609548474
397.5,15.8579178373
398,15.848806281
398.5,15.8396939348
399,15.8275429098
399.5,15.8169096081
400,15.8108329513
400.5,15.8017173046
401,15.7910813795
401.5,15.785003222
402,15.7789247107
402.5,15.7713260738
403,15.7667666258
