"Latest: Time (s)","Latest: Temperature (°C)"
0,14.772458329
0.5,14.912055239
1,15.036140989
1.5,15.1615971943
2,15.2716217656
2.5,15.3616898712
3,15.4394800759
3.5,15.526351156
4,15.5933588097
4.5,15.6709719788
5,15.7515670251
5.5,15.8077944906
6,15.8731020117
6.5,15.9444383968
7,15.9899471871
7.5,16.0505954036
8,16.0975742041
8.5,16.1490758314
9,16.1808734399
9.5,16.2338488342
10,16.2656217587
10.5,16.3094835552
11,16.3442581006
11.5,16.3790217318
12,16.4152852409
12.5,16.4545574203
13,16.4817377915
13.5,16.5149493268
14,16.5451331513
14.5,16.5738003331
15,16.6054766987
15.5,16.6326208636
16,16.6567436007
16.5,16.6883969942
17,16.7155215436
17.5,16.7396269024
18,16.759208809
18.5,16.7742695642
19,16.7998683695
19.5,16.8239562257
20,16.8359982908
20.5,16.8405137456
21,16.8344931005
21.5,16.8329878908
22,16.8254615517
22.5,16.8224508803
23,16.8149238624
23.5,16.8119129193
24,16.8058907999
24.5,16.8028796236
25,16.7923398937
25.5,16.7908341401
26,16.789328367
26.5,16.7923398937
27,16.789328367
27.5,16.7848109309
28,16.7923398937
28.5,16.7953513424
29,16.7983627133
29.5,16.8073963589
30,16.8224508803
30.5,16.8405137456
31,16.8555640041
31.5,16.891676751
32,16.9458251259
32.5,16.9789036108
33,17.0134758297
33.5,17.0390227749
34,17.0675687966
34.5,17.0885983678
35,17.1096242686
35.5,17.1276435557
36,17.1531662886
36.5,17.1651751289
37,17.1936913738
37.5,17.2086972449
38,17.2267018584
38.5,17.2342029991
39,17.2537038177
39.5,17.2762009169
40,17.3031920145
40.5,17.3226819184
41,17.3391709804
41.5,17.3526604019
42,17.3676469316
42.5,17.379634857
43,17.3931198962
43.5,17.3991127796
44,17.4110976849
44.5,17.4215835361
45,17.4365618026
45.5,17.457528376
46,17.4710050437
46.5,17.4829830951
47,17.4949600108
47.5,17.5039419534
48,17.5174136733
48.5,17.526394025
49,17.5368702994
49.5,17.5443528242
50,17.5877428083
50.5,17.7073633414
51,17.8716622659
51.5,18.052156537
52,18.1832742844
52.5,18.3127798953
53,18.4347335659
53.5,18.540243616
54,18.648645899
54.5,18.75400184
55,18.8444596871
55.5,18.9274554697
56,19.011887279
56.5,19.0873926727
57,19.1525054538
57.5,19.2131547111
58,19.2737810393
58.5,19.3225613434
59,19.3831468759
59.5,19.4215554118
60,19.4732451666
60.5,19.5086803229
61,19.5529637692
61.5,19.5898577904
62,19.6223179173
62.5,19.6650968716
63,19.6872197485
63.5,19.7196615234
64,19.7520972514
64.5,19.7756830939
65,19.7963181083
65.5,19.8213716656
66,19.8537886565
66.5,19.8729413748
67,19.8891459169
67.5,19.9127135443
68,19.9348053903
68.5,19.9539494701
69,19.9951760109
69.5,20.0393369718
70,20.0466960988
70.5,20.0614134707
71,20.0776012248
71.5,20.095258979
72,20.1114437789
72.5,20.1246848418
73,20.1379249657
73.5,20.1393960328
74,20.1496931784
74.5,20.1599897587
75,20.1702857748
75.5,20.1776397273
76,20.1864640915
76.5,20.1967586619
77,20.2099937151
77.5,20.2202870066
78,20.2305797404
78.5,20.2335204192
79,20.2408719177
79.5,20.2496933417
80,20.2526337258
80.5,20.2555740647
81,20.2585143583
81.5,20.2629247141
82,20.2688050304
82.5,20.2776251667
83,20.27909515
83.5,20.2879148137
84,20.2923244938
84.5,20.2982039102
85,20.3011435512
85.5,20.3055529285
86,20.3070226986
86.5,20.3114319416
87,20.3143713811
87.5,20.3158410841
88,20.320250126
88.5,20.320250126
89,20.3231894314
89.5,20.3246590674
90,20.3246590674
90.5,20.3261286922
91,20.3275983059
91.5,20.3275983059
92,20.3275983059
92.5,20.3275983059
93,20.3290679084
93.5,20.3290679084
94,20.3290679084
94.5,20.3290679084
95,20.3334766492
95.5,20.3290679084
96,20.3320070801
96.5,20.3320070801
97,20.3320070801
97.5,20.3320070801
98,20.3305374998
98.5,20.3320070801
99,20.3320070801
99.5,20.3320070801
100,20.3349462072
100.5,20.3320070801
101,20.3320070801
101.5,20.3334766492
102,20.3334766492
102.5,20.3334766492
103,20.3334766492
103.5,20.3320070801
104,20.3320070801
104.5,20.3290679084
105,20.3290679084
105.5,20.3305374998
106,20.3275983059
106.5,20.3305374998
107,20.3275983059
107.5,20.3275983059
108,20.3261286922
108.5,20.3290679084
109,20.3275983059
109.5,20.3261286922
110,20.3275983059
110.5,20.3261286922
111,20.3275983059
111.5,20.3261286922
112,20.3246590674
112.5,20.3246590674
113,20.3261286922
113.5,20.3231894314
114,20.3231894314
114.5,20.3217197843
115,20.3217197843
115.5,20.320250126
116,20.3231894314
116.5,20.320250126
117,20.320250126
117.5,20.3173107759
118,20.3158410841
118.5,20.312901667
119,20.312901667
119.5,20.3099622051
120,20.3084924575
120.5,20.3070226986
121,20.3070226986
121.5,20.3040831473
122,20.3055529285
122.5,20.3040831473
123,20.3040831473
123.5,20.3011435512
124,20.3026133548
124.5,20.2996737363
125,20.2982039102
125.5,20.2967340729
126,20.2967340729
126.5,20.2923244938
127,20.2967340729
127.5,20.2923244938
128,20.2893847183
128.5,20.2879148137
129,20.2879148137
129.5,20.2849749708
130,20.2835050325
130.5,20.2820350829
131,20.2776251667
131.5,20.2761551722
132,20.2761551722
132.5,20.2776251667
133,20.2746851664
133.5,20.27909515
134,20.2688050304
134.5,20.2717451209
135,20.2673349683
135.5,20.2688050304
136,20.2688050304
136.5,20.2673349683
137,20.2643948101
137.5,20.2643948101
138,20.2629247141
138.5,20.2599844882
139,20.2585143583
139.5,20.2570442172
140,20.2570442172
140.5,20.2585143583
141,20.2555740647
141.5,20.2570442172
142,20.2570442172
142.5,20.2555740647
143,20.2555740647
143.5,20.2555740647
144,20.2541039009
144.5,20.2555740647
145,20.2541039009
145.5,20.2555740647
146,20.2511635394
146.5,20.2541039009
147,20.2511635394
147.5,20.2526337258
148,20.2496933417
148.5,20.2467529123
149,20.2482231327
149.5,20.2452826807
150,20.2467529123
150.5,20.2452826807
151,20.2423421833
151.5,20.2423421833
152,20.2408719177
152.5,20.2423421833
153,20.2408719177
153.5,20.2379313523
154,20.2379313523
154.5,20.2364610527
155,20.2364610527
155.5,20.2349907416
156,20.2349907416
156.5,20.2349907416
157,20.2349907416
157.5,20.2335204192
158,20.2320500855
158.5,20.2335204192
159,20.2305797404
159.5,20.2305797404
160,20.2320500855
160.5,20.2320500855
161,20.2305797404
161.5,20.2305797404
162,20.229109384
162.5,20.2276390162
163,20.2276390162
163.5,20.226168637
164,20.2276390162
164.5,20.2276390162
165,20.226168637
165.5,20.2232278446
166,20.2232278446
166.5,20.2232278446
167,20.2217574313
167.5,20.2202870066
168,20.2202870066
168.5,20.2188165706
169,20.2173461231
169.5,20.2188165706
170,20.2158756643
170.5,20.2158756643
171,20.2173461231
171.5,20.2158756643
172,20.2144051941
172.5,20.2129347125
173,20.2099937151
173.5,20.2085231993
174,20.2055821335
174.5,20.2085231993
175,20.2055821335
175.5,20.2070526721
176,20.2041115834
176.5,20.2070526721
177,20.2158756643
177.5,20.2305797404
178,20.2511635394
178.5,20.2761551722
179,20.3217197843
179.5,20.3511106112
180,20.390781193
189,20.9072568976
189.5,20.9263069773
190,20.9453553928
190.5,20.9687973223
191,20.9819823094
191.5,20.9995610668
192,21.003955538
192.5,21.015673702
193,21.0303205382
193.5,21.044966412
194,21.0508244928
194.5,21.0596113267
195,21.0669334252
195.5,21.0698621978
196,21.0757196286
196.5,21.0786482868
197,21.0874340329
197.5,21.0888982907
198,21.0918267777
198.5,21.0947552268
199,21.0962194371
199.5,21.0976836379
200,21.0991478292
200.5,21.1006120111
